Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Номер сварного соединения;Размер свариваемых элементов;Клеймо сварщика;Заключение;Лаборатория;Файл;Оригинал;Страницы
TT1701-67894;10.01.2020;P1Y18410;4.1.3.11.103;1-11-0A1046;0055-4.1.3.11.103-TM.IS-0015;B(a)-I;F1.4;219.1x12.7+219.1x12.7;8M5B;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134542.pdf;К16.pdf;000364
TT1711-67687;15.10.2019;P1Y18412;4.1.3.11.103;1-11-0A1046;0055-4.1.3.11.103-TM.IS-0015;B(a)-I;F1.11;219.1x12.7+219.1x12.7;853Z;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134544.pdf;К16.pdf;000366
TT1711-67688;15.10.2019;P1Y18414;4.1.3.11.103;1-11-0A1046;0055-4.1.3.11.103-TM.IS-0015;B(a)-I;F1.19;219.1x12.7+219.1x12.7;942C;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134549.pdf;К16.pdf;000371
TT1701-67893;04.01.2020;P1Y18413;4.1.3.11.103;1-11-0A1046;0055-4.1.3.11.103-TM.IS-0015;B(a)-I;F1.20;219.1x12.7+219.1x12.7;8M5B;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134553.pdf;К16.pdf;000375
TT1701-67528;10.01.2020;P1Y18415;4.1.3-11.103;1-11-0A1046;0055-4.1.3.11.103-TM.IS-0015;B(a)-I;F1.23;219.1x12.7+219.1x12.7;8M5B;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134556.pdf;К16.pdf;000378
TT1701-67529;11.01.2020;P1Y2081;4.1.3.11.119;1-11-0A1046;0055-4.1.3.11.119-TM.IS-0123;B(a)-I;F1;219.1x12.7+219.1x12.7;8M5B;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134558.pdf;К16.pdf;000380
YMT-A-0484 PT 3903;03.04.2020;P1Y2084;4.1.3.11.119;1-11-0A1046;0055-4.1.3.11.119-TM.IS-0123;B(a)-I;F15;33.4x4.55+33.4x4.55;17BS;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134560.pdf;К16.pdf;000382
TT1711-67674;19.12.2019;P1Y18417;4.1.3.11.103;1-11-0A1048;0055-4.1.3.11.103-TM.IS-0018;B(a)-I;F1.1;219.1x12.7+219.1x12.7;9027;/;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134562.pdf;К16.pdf;000384
TT1828-70574;27.12.2019;P1Y18418;4.1.3.11.103;1-11-0A1048;0055-4.1.3.11.103-TM.IS-0018;B(a)-I;F1.8;219.1x12.7+219.1x12.7;9027;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134566.pdf;К16.pdf;000388
TT1853-70963;10.12.2019;P1Y18418;4.1.3.11.103;1-11-0A1048;0055-4.1.3.11.103-TM.IS-0018;B(a)-I;F1.12;219.1x12.7+219.1x12.7;9027;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134570.pdf;К16.pdf;000392
T 036-1860;08.10.2019;P1Y18420;4.1.3.11.103;1-11-0A1048;0055-4.1.3.11.103-TM.IS-0018;B(a)-I;S1.15;219.1x12.7+219.1x12.7;"99VH;9EP2";гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134573.pdf;К16.pdf;000395
TT1828-70575;27.12.2019;P1Y18420;4.1.3.11.103;1-11-0A1048;0055-4.1.3.11.103-TM.IS-0018;B(a)-I;F1.16;219.1x12.7+219.1x12.7;9027;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134575.pdf;К16.pdf;000397
TT1711-67672;24.11.2019;P1Y18421;4.1.3.11.103;1-11-0A1048;0055-4.1.3.11.103-TM.IS-0018;B(a)-I;S1.18;219.1x12.7+219.1x12.7;"9EPE;97XA";гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134577.pdf;К16.pdf;000399
